Subj ID,Session,Run,Target,TR Condition,Word Class,Accuracy,RT,WordFreq,WordFreq,,RT-Rev,Actual response
TPL,1,1,(pass),(control),(control),NA,1.157261,NA,NA,,1.157261,
TPL,1,1,(pass),(control),(control),NA,0.95009,NA,NA,,0.95009,
TPL,1,1,(pass),(control),(control),NA,1.297377,NA,NA,,1.297377,
TPL,1,1,(pass),(control),(control),NA,1.06967,NA,NA,,1.06967,
TPL,1,1,(pass),(control),(control),NA,1.28861,NA,NA,,1.28861,
TPL,1,1,planting,UNTR,ACT,1,1.405267,108,18,,1.405267,
TPL,1,1,dropping,UNTR,ACT,1,1.465057,826,159,,1.465057,
TPL,1,1,tying,UNTR,ACT,1,1.247618,158,50,,1.247618,
TPL,1,1,peeling,UNTR,ACT,1,1.620574,56,14,,1.620574,
TPL,1,1,touching,UNTR,ACT,0,1.829247,888,91,,NA,pointing
TPL,1,1,Eye,CORR,OBJ,1,1.170689,5701,122,,1.170689,
TPL,1,1,Hand,CORR,OBJ,1,0.881376,14262,431,,0.881376,
TPL,1,1,Fork,CORR,OBJ,1,1.043843,450,14,,1.043843,
TPL,1,1,Pen,CORR,OBJ,1,1.237114,1261,18,,1.237114,
TPL,1,1,Book,CORR,OBJ,1,1.122352,9026,193,,1.122352,
TPL,1,1,bouncing,TR,ACT,1,1.346821,217,28,,1.346821,
TPL,1,1,praying,TR,ACT,1,1.375808,520,30,,1.375808,
TPL,1,1,knocking,TR,ACT,1,1.250779,759,47,,1.250779,
TPL,1,1,pushing,TR,ACT,1,1.310568,978,102,,1.310568,
TPL,1,1,stopping,TR,ACT,1,1.339555,1066,240,,1.339555,
TPL,1,1,(pass),(control),(control),NA,1.574292,NA,NA,,1.574292,
TPL,1,1,(pass),(control),(control),NA,1.213104,NA,NA,,1.213104,
TPL,1,1,(pass),(control),(control),NA,1.396107,NA,NA,,1.396107,
TPL,1,1,(pass),(control),(control),NA,1.199203,NA,NA,,1.199203,
TPL,1,1,(pass),(control),(control),NA,1.156316,NA,NA,,1.156316,
TPL,1,1,Barn,TR,OBJ,1,1.226769,693,29,,1.226769,
TPL,1,1,Glasses,TR,OBJ,1,1.019597,1689,29,,1.019597,
TPL,1,1,Pitcher,TR,OBJ,1,0.945906,165,21,,0.945906,
TPL,1,1,Wheel,TR,OBJ,1,1.108374,1380,56,,1.108374,
TPL,1,1,Suitcase,TR,OBJ,1,0.901202,683,20,,0.901202,
TPL,1,1,carrying,CORR,ACT,0,1.803343,1451,304,,NA,lifting
TPL,1,1,walking,CORR,ACT,1,1.288139,3826,287,,1.288139,
TPL,1,1,mailing,CORR,ACT,1,1.460874,53,13,,1.460874,
TPL,1,1,sleeping,CORR,ACT,1,1.161293,3027,97,,1.161293,
TPL,1,1,kissing,CORR,ACT,1,1.118405,1189,31,,1.118405,
TPL,1,1,Windmill,UNTR,OBJ,1,1.353142,65,1,,1.353142,
TPL,1,1,Sweater,UNTR,OBJ,1,1.299987,704,14,,1.299987,
TPL,1,1,Bottle,UNTR,OBJ,1,1.174957,2588,76,,1.174957,
TPL,1,1,Basket,UNTR,OBJ,1,1.183409,672,17,,1.183409,
TPL,1,1,Iron,UNTR,OBJ,1,1.119986,915,43,,1.119986,
TPL,1,1,(pass),(control),(control),NA,1.416329,NA,NA,,1.416329,
TPL,1,1,(pass),(control),(control),NA,1.075677,NA,NA,,1.075677,
TPL,1,1,(pass),(control),(control),NA,1.505106,NA,NA,,1.505106,
TPL,1,1,(pass),(control),(control),NA,1.431415,NA,NA,,1.431415,
TPL,1,1,(pass),(control),(control),NA,1.265314,NA,NA,,1.265314,
TPL,1,1,running,CORR,ACT,1,1.274161,8054,431,,1.274161,
TPL,1,1,driving,CORR,ACT,1,1.210738,3780,203,,1.210738,
TPL,1,1,sneezing,CORR,ACT,1,1.527221,56,3,,1.527221,
TPL,1,1,dreaming,CORR,ACT,0,1.689689,939,45,,NA,sleeping
TPL,1,1,watching,CORR,ACT,1,2.765986,5081,209,,2.765986,
